matchkey_skill_norm,example_original,freq_candidates,freq_jobs,freq_total,source,match_type,esco_uri,esco_preferred_label,similarity,best_candidate_below_threshold
flexibilidad horaria,Flexibilidad horaria,0,26,26,job,none,,,0.33,perform services in a flexible manner
google cloud,Google Cloud,0,26,26,job,none,,,0.5931,use Google Search
ci/cd,CI/CD,0,26,26,job,none,,,0.2104,Cisco
startup experience,Startup experience,0,25,25,job,none,,,0.6399,use experience map
kubernetes,Kubernetes,0,24,24,job,none,,,0.4282,cybernetics
gcp,GCP,0,23,23,job,none,,,0.2662,apply HACCP
spanish,Spanish,0,23,23,job,exact,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish,1.0,
llms,LLMs,0,22,22,job,none,,,0.3342,read palms
flexible schedule,flexible schedule,0,20,20,job,none,,,0.5509,plan schedule
innovation,innovation,0,20,20,job,contains,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,0.5,
formacion completa en producto y tecnicas de venta,Formación completa en producto y técnicas de venta,0,19,19,job,none,,,0.2766,design the completion for a well in petroleum production
generative ai,generative AI,0,18,18,job,none,,,0.491,set up generators
keras,Keras,0,18,18,job,none,,,0.4751,cameras
ingles,Inglés,0,17,17,job,none,,,0.3212,consult to produce single malt beverages
nosql,NoSQL,0,17,17,job,exact,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,NoSQL,1.0,
creative environment,Creative environment,0,17,17,job,fuzzy,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,create 3D environments,0.7183,
contrato indefinido,Contrato indefinido,0,17,17,job,none,,,0.2991,create definitions
api integration,API integration,0,16,16,job,none,,,0.6894,ICT system integration
leadership,Leadership,0,16,16,job,contains,http://data.europa.eu/esco/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86,leadership principles,0.5,
analytical thinking,analytical thinking,0,16,16,job,fuzzy,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,0.7113,
growth opportunities,Growth opportunities,0,16,16,job,none,,,0.6728,identify opportunities
entorno creativo,Entorno creativo,0,16,16,job,none,,,0.3115,develop creative ideas
llamaindex,LlamaIndex,0,15,15,job,none,,,0.1656,contraindications
business process understanding,Business process understanding,0,15,15,job,none,,,0.6276,business processes
flexible hours,flexible hours,0,15,15,job,none,,,0.5662,perform services in a flexible manner
creativity,Creativity,0,14,14,job,contains,http://data.europa.eu/esco/skill/ccdf3597-5c80-410f-896d-e1bdfa223de9,stimulate creativity in the team,0.2,
organizacion,Organización,0,14,14,job,none,,,0.5353,use personal organization software
mlflow,MLflow,0,14,14,job,none,,,0.4148,control air flow
clear communication,clear communication,0,14,14,job,fuzzy,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,0.8082,
bot development,Bot development,0,13,13,job,none,,,0.5873,advise on mine development
transformers,Transformers,0,12,12,job,none,,,0.5626,energy transformation
problem‐solving,Problem‑solving,0,12,12,job,contains,http://data.europa.eu/esco/skill/30d49832-84bd-4d97-9441-aef97a76a8d0,apply problem solving in social service,0.3333,
ia generativa,IA Generativa,0,12,12,job,none,,,0.4773,set up generators
project management,Project management,0,12,12,job,exact,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,1.0,
mlops,MLOps,0,12,12,job,none,,,0.2919,design props
deep learning,Deep Learning,0,12,12,job,none,,,0.4981,use learning strategies
proactivo,proactivo,0,11,11,job,none,,,0.6048,think proactively
attention to detail,attention to detail,0,11,11,job,exact,http://data.europa.eu/esco/skill/59f56593-c5e6-4bfb-974c-c98643453ca1,attention to detail,1.0,
autonomy,Autonomy,0,10,10,job,contains,http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d,patient autonomy,0.5,
formacion continua,Formación continua,0,10,10,job,none,,,0.387,form continuous bands
bi tools,BI tools,0,10,10,job,none,,,0.6785,use IT tools
saas,SaaS,0,10,10,job,contains,http://data.europa.eu/esco/skill/eeca3780-8049-499f-a268-95a7ad26642c,SaaS (service-oriented modelling),0.25,
c#,C#,0,10,10,job,exact,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,1.0,
oportunidad de continuar en campanas tecnologicas de primer nivel,Oportunidad de continuar en campañas tecnológicas de primer nivel,0,10,10,job,none,,,0.367,apply primer
"ambiente dinamico, innovador y lleno de energia gamer","Ambiente dinámico, innovador y lleno de energía gamer",0,10,10,job,none,,,0.3138,innovate in ICT
innovation mindset,Innovation mindset,0,10,10,job,fuzzy,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,0.7375,
proactiva,proactiva,0,10,10,job,none,,,0.5469,think proactively
gestion de proyectos,Gestión de proyectos,0,10,10,job,none,,,0.2835,hand gestures
react,React,0,10,10,job,contains,http://data.europa.eu/esco/skill/3938da70-dd7a-4092-b039-10c2218867fd,react to mining emergencies,0.25,
teletrabajo,Teletrabajo,0,9,9,job,none,,,0.2451,use a telecine
c++,C++,0,9,9,job,exact,http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,C++,1.0,
horario flexible,Horario flexible,0,9,9,job,none,,,0.5443,perform services in a flexible manner
rag,RAG,0,9,9,job,none,,,0.1933,RAGE (digital game creation systems)
llm,LLM,0,9,9,job,none,,,0.1781,read hallmarks
comunicativa,comunicativa,0,9,9,job,none,,,0.5109,communication
vertex ai,Vertex AI,0,9,9,job,none,,,0.3133,install inverter
orientada a resultados,orientada a resultados,0,9,9,job,none,,,0.3633,ensure client orientation
apis,APIs,0,9,9,job,none,,,0.276,assist physiotherapists
hugging face,Hugging Face,0,8,8,job,none,,,0.3914,ICT debugging tools
chatgpt,ChatGPT,0,8,8,job,none,,,0.4236,use internet chat
posibilidad de seguir en campanas tecnologicas de primer nivel,Posibilidad de seguir en campañas tecnológicas de primer nivel,0,8,8,job,none,,,0.3847,apply primer
autoencoders,Autoencoders,0,8,8,job,none,,,0.1963,building automation
proactivity,Proactivity,0,8,8,job,none,,,0.5195,think proactively
long-term collaboration,Long-term collaboration,0,8,8,job,none,,,0.5342,apply nursing care in long-term care
espanol,español,0,8,8,job,none,,,0.2863,Spanish
mongodb,MongoDB,0,8,8,job,none,,,0.1669,ensure ongoing compliance with regulations
gitlab,GitLab,0,8,8,job,none,,,0.566,MATLAB
strategic vision,strategic vision,0,8,8,job,none,,,0.5849,strategic planning
colaboracion,Colaboración,0,8,8,job,none,,,0.3135,laboratory equipment
salario competitivo,Salario competitivo,0,8,8,job,none,,,0.5458,competition law
digital transformation,digital transformation,0,7,7,job,contains,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,keep up with digital transformation of industrial processes,0.25,
ambiente dinamico e innovador,Ambiente dinámico e innovador,0,7,7,job,none,,,0.3949,innovate in ICT
gemini,Gemini,0,7,7,job,none,,,0.3659,demining operations
make (integromat),Make (Integromat),0,7,7,job,none,,,0.3042,Eclipse (integrated development environment software)
bigquery,BigQuery,0,7,7,job,none,,,0.5404,XQuery
autogen,AutoGen,0,7,7,job,none,,,0.2721,work with hot nitrogen
market research,market research,0,7,7,job,exact,http://data.europa.eu/esco/skill/8770350e-746f-4adb-9556-18ca68104be6,market research,1.0,
seguro medico,Seguro médico,0,7,7,job,none,,,0.3159,medico-biological and medical sciences related to dentistry
crecimiento dentro del equipo,crecimiento dentro del equipo,0,7,7,job,none,,,0.2883,use equine dental equipment
automation,Automation,0,7,7,job,contains,http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694,automation technology,0.5,
azure ai,Azure AI,0,7,7,job,none,,,0.1993,tai chi
github,GitHub,0,7,7,job,none,,,0.2264,Lithuanian
vector databases,Vector databases,0,7,7,job,fuzzy,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,use databases,0.8162,
langgraph,LangGraph,0,7,7,job,none,,,0.3326,photograph crime scenes
opencv,OpenCV,0,6,6,job,none,,,0.3616,tend open pans
team collaboration,Team collaboration,0,6,6,job,none,,,0.699,collaborate with coaching team
technology trend analysis,technology trend analysis,0,6,6,job,none,,,0.6086,monitor technology trends
flexibility,flexibility,0,6,6,job,none,,,0.4342,perform services in a flexible manner
creatividad,Creatividad,0,6,6,job,none,,,0.4402,stimulate creativity in the team
.net,.NET,0,6,6,job,contains,http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50,ASP.NET,0.5,
claude,Claude,0,6,6,job,none,,,0.2317,pose nude
gestion de inventario,Gestión de inventario,0,6,6,job,none,,,0.2925,manage inventory
saas experience,SaaS experience,0,6,6,job,none,,,0.645,use experience map
colaboracion a largo plazo,Colaboración a largo plazo,0,6,6,job,none,,,0.2461,laboratory equipment
next.js,Next.js,0,6,6,job,none,,,0.4046,Nexpose
api development,API development,0,6,6,job,none,,,0.6246,advise on mine development
vllm,vLLM,0,6,6,job,none,,,0.1781,read hallmarks
sql server,SQL Server,0,6,6,job,exact,http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead,SQL Server,1.0,
pasion por la tecnologia y los videojuegos,pasión por la tecnología y los videojuegos,0,6,6,job,none,,,0.2573,operate video equipment
compromiso,Compromiso,0,6,6,job,none,,,0.6692,negotiate compromise
orientacion al cliente,Orientación al cliente,0,6,6,job,none,,,0.6921,ensure client orientation
autonomia,Autonomía,0,6,6,job,none,,,0.6336,patient autonomy
copilot studio,Copilot Studio,0,6,6,job,none,,,0.4339,assess studio production
continuous training,Continuous training,0,6,6,job,none,,,0.6659,operate continuous miner
jenkins,Jenkins,0,6,6,job,contains,http://data.europa.eu/esco/skill/f47a1998-0beb-43be-9f46-380aa4d183da,Jenkins (tools for software configuration management),0.1667,
inteligencia artificial,Inteligencia Artificial,0,6,6,job,none,,,0.6835,principles of artificial intelligence
terraform,Terraform,0,6,6,job,none,,,0.4113,maintain terrazzo
trabajo remoto,Trabajo remoto,0,6,6,job,none,,,0.3056,use remote control equipment
sagemaker,SageMaker,0,6,6,job,none,,,0.4934,Gamemaker Studio
dataops,DataOps,0,6,6,job,none,,,0.4423,manage data
github copilot,GitHub Copilot,0,6,6,job,none,,,0.3678,pilot vessel into ports
rpa,RPA,0,6,6,job,none,,,0.3361,types of spa
aprendizaje continuo,Aprendizaje continuo,0,6,6,job,none,,,0.4542,operate continuous miner
remote work,remote work,0,5,5,job,none,,,0.5349,use remote control equipment
english (b2),English (B2),0,5,5,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,1.0,
gitlab ci,GitLab CI,0,5,5,job,none,,,0.55,MATLAB
multi-armed bandits,Multi-armed Bandits,0,5,5,job,none,,,0.3764,plan multi-agenda event
adaptability,Adaptability,0,5,5,job,none,,,0.4363,mobility disability
google cloud platform,Google Cloud Platform,0,5,5,job,none,,,0.4876,use Google Search
crewai,CrewAI,0,5,5,job,none,,,0.3105,supervise crew
containers,Containers,0,5,5,job,contains,http://data.europa.eu/esco/skill/1b2ec9bb-ba7c-4f93-87ac-ec712c9b68c3,install containers,0.5,
continuous learning,continuous learning,0,5,5,job,none,,,0.635,operate continuous miner
nlp,NLP,0,5,5,job,none,,,0.242,types of pulp
rest,REST,0,5,5,job,contains,http://data.europa.eu/esco/skill/9efc639c-712f-4857-acf9-ad311b7d69f3,promote balance between rest and activity,0.1667,
seguro de vida,Seguro de vida,0,5,5,job,none,,,0.1612,ground segment
analisis,Análisis,0,5,5,job,none,,,0.272,manage social crisis
curiosidad,Curiosidad,0,5,5,job,none,,,0.5987,demonstrate curiosity
orientado a resultados,orientado a resultados,0,5,5,job,none,,,0.3593,ensure client orientation
mentoria,Mentoría,0,5,5,job,none,,,0.3617,provide mentorship
transformacion digital,Transformación digital,0,5,5,job,none,,,0.5855,keep up with digital transformation of industrial processes
rnns,RNNs,0,5,5,job,none,,,0.1399,work trains
json,JSON,0,5,5,job,none,,,0.2341,JSSS
desarrollo profesional,Desarrollo profesional,0,5,5,job,none,,,0.3826,manage personal professional development
business process analysis,Business process analysis,0,5,5,job,fuzzy,http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,business analysis,0.9014,
excel,Excel,0,5,5,job,none,,,0.4137,demand excellence from performers
gradient boosting,Gradient Boosting,0,5,5,job,none,,,0.3778,fish grading
curiosity about ai,Curiosity about AI,0,5,5,job,none,,,0.6378,demonstrate curiosity
saas projects,SaaS projects,0,5,5,job,none,,,0.4755,cultural projects
stakeholder management,Stakeholder management,0,5,5,job,none,,,0.611,communicate with stakeholders
problem-solving,Problem-solving,0,5,5,job,contains,http://data.europa.eu/esco/skill/30d49832-84bd-4d97-9441-aef97a76a8d0,apply problem solving in social service,0.3333,
prompt engineering,prompt engineering,0,4,4,job,none,,,0.6429,food engineering
power automate,Power Automate,0,4,4,job,none,,,0.4825,monitor automated machines
hadoop,Hadoop,0,4,4,job,exact,http://data.europa.eu/esco/skill/e46291c7-52b9-4174-bd59-178884861038,Hadoop,1.0,
big data,Big Data,0,4,4,job,contains,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,analyse big data,0.6667,
formacion interna,Formación interna,0,4,4,job,none,,,0.3732,international law
apache,Apache,0,4,4,job,contains,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,0.5,
power apps,Power Apps,0,4,4,job,none,,,0.6298,use power tools
sip,SIP,0,4,4,job,none,,,0.2151,sing
voip,VoIP,0,4,4,job,none,,,0.3149,work with a voice coach
disponibilidad en fechas y horarios,disponibilidad en fechas y horarios,0,4,4,job,none,,,0.2699,horary astrology
typescript,TypeScript,0,4,4,job,exact,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,1.0,
graphql,GraphQL,0,4,4,job,none,,,0.5032,graphite
power virtual agents,Power Virtual Agents,0,4,4,job,none,,,0.4722,develop virtual game engine
jupyter notebooks,Jupyter Notebooks,0,4,4,job,none,,,0.4718,sell books
github actions,GitHub Actions,0,4,4,job,none,,,0.3599,interact with actions on stage
kubeflow,Kubeflow,0,4,4,job,none,,,0.3284,control air flow
computer vision,Computer Vision,0,4,4,job,none,,,0.6946,use a computer
servicio al cliente,Servicio al cliente,0,4,4,job,none,,,0.4152,advise clients on moving services
critical thinking,critical thinking,0,4,4,job,none,,,0.6321,systems thinking
pl/sql,PL/SQL,0,4,4,job,none,,,0.6546,SQL
looker,Looker,0,4,4,job,none,,,0.4088,develop the look of a production
angular,Angular,0,4,4,job,none,,,0.3209,conduct regular aviation research
huggingface,HuggingFace,0,4,4,job,none,,,0.4032,ICT debugging tools
bash,Bash,0,4,4,job,none,,,0.2876,wash hair
apis rest,APIs REST,0,4,4,job,none,,,0.2394,perform forest analysis
amazon q developer,Amazon Q Developer,0,4,4,job,none,,,0.3808,develop staff
professional development,Professional development,0,4,4,job,contains,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,manage personal professional development,0.5,
proactive,proactive,0,4,4,job,none,,,0.6481,think proactively
ai,AI,0,4,4,job,none,,,0.287,tai chi
openrewrite,OpenRewrite,0,4,4,job,none,,,0.5242,rewrite articles
figma,Figma,0,4,4,job,none,,,0.1999,coordinate fire fighting
influence,Influence,0,4,4,job,contains,http://data.europa.eu/esco/skill/91fe9c5b-7c12-4835-ad9c-6cae970187fa,influence legislators,0.5,
ia,IA,0,4,4,job,none,,,0.2616,media law
long‐term collaboration opportunities,Long‑term collaboration opportunities,0,4,4,job,none,,,0.5786,identify opportunities
growth within the team,Growth within the team,0,4,4,job,none,,,0.4718,maintain plants' growth
gans,GANs,0,4,4,job,none,,,0.4769,install organs
innovacion,Innovación,0,4,4,job,none,,,0.646,innovate in ICT
long‐term collaboration,Long‑term collaboration,0,4,4,job,none,,,0.4974,collaborate with engineers
powerbi,PowerBI,0,4,4,job,none,,,0.4798,use power tools
rust,Rust,0,4,4,job,contains,http://data.europa.eu/esco/skill/9227266e-36c5-4e34-99da-caba3bd44d02,remove rust from motor vehicles,0.2,
ibm cloud,IBM Cloud,0,4,4,job,none,,,0.5767,cloud technologies
azure openai service,Azure OpenAI Service,0,4,4,job,none,,,0.4539,food service operations
google palm api,Google PaLM API,0,4,4,job,none,,,0.6241,use Google Search
amazon bedrock,Amazon Bedrock,0,4,4,job,none,,,0.3102,manage waste rock
ibm watsonx.ai,IBM Watsonx.ai,0,4,4,job,none,,,0.4553,IBM Informix
spring boot,Spring Boot,0,4,4,job,none,,,0.5478,types of spring
gestion de equipos,Gestión de equipos,0,4,4,job,none,,,0.3151,hand gestures
php,PHP,0,4,4,job,exact,http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f,PHP,1.0,
go,Go,0,4,4,job,none,,,0.1832,types of cargo
ocr,OCR,0,4,4,job,none,,,0.1595,endocrinology
document ai,Document AI,0,4,4,job,fuzzy,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1,document management,0.7133,
after effects,After Effects,0,4,4,job,none,,,0.5339,manage stage effects
illustrator,Illustrator,0,4,4,job,contains,http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,Adobe Illustrator,0.5,
photoshop,Photoshop,0,4,4,job,contains,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,0.5,
matlab,MATLAB,0,4,4,job,exact,http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d,MATLAB,1.0,
data analysis,Data Analysis,0,4,4,job,contains,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,perform data analysis,0.6667,
apache spark,Apache Spark,0,4,4,job,none,,,0.617,SPARK
scipy,SciPy,0,4,4,job,none,,,0.2394,food science
ingles (b2),Inglés (B2),0,4,4,job,none,,,0.3212,consult to produce single malt beverages
maven,Maven,0,4,4,job,contains,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,0.5,
tensorflow lite,TensorFlow Lite,0,4,4,job,none,,,0.3026,sensors
responsabilidad,Responsabilidad,0,4,4,job,none,,,0.4068,show responsibility
tensorrt,TensorRT,0,4,4,job,none,,,0.4172,sensors
mentoring,Mentoring,0,4,4,job,none,,,0.3703,provide mentorship
microsoft 365,Microsoft 365,0,4,4,job,fuzzy,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,Microsoft Access,0.8503,
content publishing opportunities,content publishing opportunities,0,4,4,job,none,,,0.6065,identify opportunities
indefinite contract,indefinite contract,0,4,4,job,none,,,0.5208,contract law
microsoft azure,Microsoft Azure,0,4,4,job,fuzzy,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,Microsoft Access,0.8127,
pyspark,Pyspark,0,4,4,job,fuzzy,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f,SPARK,0.8093,
apache kafka,Apache Kafka,0,4,4,job,none,,,0.6964,Apache Maven
23 dias de vacaciones,23 días de vacaciones,0,4,4,job,none,,,0.2419,lay stones
diffusion models,Diffusion models,0,4,4,job,none,,,0.5573,data models
databricks,Databricks,0,4,4,job,none,,,0.6045,lay bricks
investigacion de mercado,Investigación de mercado,0,4,4,job,none,,,0.4793,drug investigations
certification support,certification support,0,4,4,job,none,,,0.5761,compile airport certification manuals
training programs,training programs,0,4,4,job,none,,,0.6428,develop training programmes
mentorship,mentorship,0,4,4,job,contains,http://data.europa.eu/esco/skill/28722c99-68b7-4b7b-808f-53f343299935,provide mentorship,0.5,
analisis de datos,Análisis de datos,0,4,4,job,none,,,0.2483,perform data analysis
analisis de tendencias tecnologicas,Análisis de tendencias tecnológicas,0,4,4,job,none,,,0.2376,provide health psychological analysis
microservicios,Microservicios,0,4,4,job,none,,,0.4469,microsensors
royalties,royalties,0,4,4,job,none,,,0.308,process loyalty schemes
veo 3,Veo 3,0,3,3,job,none,,,0.2248,Taleo
dvc,DVC,0,3,3,job,none,,,0.2333,install PVC piping
collaborative environment,Collaborative environment,0,3,3,job,none,,,0.5354,establish collaborative relations
autonomo,Autónomo,0,3,3,job,none,,,0.6241,patient autonomy
hybrid work model,Hybrid work model,0,3,3,job,fuzzy,http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,Hybrid model,0.9436,
jira,Jira,0,3,3,job,none,,,0.1505,tend jigger machines
kling,Kling,0,3,3,job,none,,,0.4618,sparkling wines
french,French,0,3,3,job,exact,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,French,1.0,
runway,Runway,0,3,3,job,none,,,0.4665,clean contaminants from airport runways
leonardo,Leonardo,0,3,3,job,none,,,0.2201,paleontology
rpc,RPC,0,3,3,job,none,,,0.2743,IPC standards
pbx,PBX,0,3,3,job,none,,,0.0,3D body scanning technologies
midjourney,Midjourney,0,3,3,job,none,,,0.5289,complete patient journey records
cosmos db,Cosmos DB,0,3,3,job,none,,,0.2974,cosmetics
scrum,Scrum,0,3,3,job,none,,,0.2251,assist the veterinary surgeon as a scrub nurse
aprendizaje automatico,Aprendizaje automático,0,3,3,job,none,,,0.5384,drive automatic car
matplotlib,Matplotlib,0,3,3,job,none,,,0.1798,plot lighting states
oauth2,OAuth2,0,3,3,job,none,,,0.2803,work with authors
seaborn,Seaborn,0,3,3,job,none,,,0.3842,newborn care
time series analysis,Time Series Analysis,0,3,3,job,none,,,0.4749,market analysis
innovative mindset,Innovative mindset,0,3,3,job,none,,,0.6221,create innovative desserts
strategic planning,Strategic planning,0,3,3,job,exact,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2,strategic planning,1.0,
