job_id,skill,importance,skill_norm
3,Trabajo en equipo,soft_skill,trabajo en equipo
3,Flexibilidad horaria,benefit,flexibilidad horaria
3,Teletrabajo,benefit,teletrabajo
3,Mentoría,benefit,mentoría
3,Formación interna,benefit,formación interna
3,Acceso a plataformas de aprendizaje,benefit,acceso a plataformas de aprendizaje
3,Horas laborales para certificaciones,benefit,horas laborales para certificaciones
4,Python,must,python
4,BI tools,must,bi tools
4,Análisis,must,análisis
4,Atención al detalle,must,atención al detalle
4,Colaboración,must,colaboración
4,Investigación de mercado,nice,investigación de mercado
4,Transformación digital,nice,transformación digital
4,Análisis de tendencias tecnológicas,nice,análisis de tendencias tecnológicas
4,Python,tech_stack,python
4,Comunicación,soft_skill,comunicación
4,Curiosidad,soft_skill,curiosidad
4,Trabajo en equipo,soft_skill,trabajo en equipo
4,Mentoría,soft_skill,mentoría
4,Adaptabilidad,soft_skill,adaptabilidad
4,Flexibilidad horaria,benefit,flexibilidad horaria
4,Teletrabajo,benefit,teletrabajo
4,Mentor asignado,benefit,mentor asignado
4,Formación interna,benefit,formación interna
4,"Certificaciones cloud (AWS, Google Cloud, Azure)",benefit,"certificaciones cloud (aws, google cloud, azure)"
4,Publicación de contenidos en hubs y blog,benefit,publicación de contenidos en hubs y blog
5,Python,must,python
5,BI tools,must,bi tools
5,market research,nice,market research
5,digital transformation,nice,digital transformation
5,technology trend analysis,nice,technology trend analysis
5,AWS,nice,aws
5,Google Cloud,nice,google cloud
5,Azure,nice,azure
5,Python,tech_stack,python
5,AWS,tech_stack,aws
5,Google Cloud,tech_stack,google cloud
5,Azure,tech_stack,azure
5,analytical thinking,soft_skill,analytical thinking
5,attention to detail,soft_skill,attention to detail
5,curiosity,soft_skill,curiosity
5,collaboration,soft_skill,collaboration
5,communication,soft_skill,communication
5,flexible schedule,benefit,flexible schedule
5,remote work,benefit,remote work
5,hybrid work,benefit,hybrid work
5,training and certifications,benefit,training and certifications
5,mentor program,benefit,mentor program
5,content publishing opportunities,benefit,content publishing opportunities
6,Python,must,python
6,BI tools,must,bi tools
6,market research,nice,market research
6,digital transformation,nice,digital transformation
6,technology trend analysis,nice,technology trend analysis
6,Python,tech_stack,python
6,AWS,tech_stack,aws
6,Google Cloud,tech_stack,google cloud
6,Azure,tech_stack,azure
6,analytical thinking,soft_skill,analytical thinking
6,attention to detail,soft_skill,attention to detail
6,curiosity,soft_skill,curiosity
6,collaboration,soft_skill,collaboration
6,communication,soft_skill,communication
6,flexible hours,benefit,flexible hours
6,remote work,benefit,remote work
6,training programs,benefit,training programs
6,certification support,benefit,certification support
6,mentor program,benefit,mentor program
6,content publishing opportunities,benefit,content publishing opportunities
7,Python,must,python
7,Data Visualization,must,data visualization
7,Market Research,must,market research
7,Digital Transformation,nice,digital transformation
7,Tech Trend Analysis,nice,tech trend analysis
7,Python,tech_stack,python
7,AWS,tech_stack,aws
7,Google Cloud,tech_stack,google cloud
7,Azure,tech_stack,azure
7,Analytical thinking,soft_skill,analytical thinking
7,Attention to detail,soft_skill,attention to detail
7,Curiosity,soft_skill,curiosity
7,Collaboration,soft_skill,collaboration
7,Communication,soft_skill,communication
7,Mentorship,benefit,mentorship
7,Flexible schedule,benefit,flexible schedule
7,Remote work,benefit,remote work
7,Training programs,benefit,training programs
7,Certification support,benefit,certification support
7,Content publishing opportunities,benefit,content publishing opportunities
8,Python,must,python
8,BI tools,must,bi tools
8,Market research,nice,market research
8,Digital transformation,nice,digital transformation
8,Technology trend analysis,nice,technology trend analysis
8,Python,tech_stack,python
8,AWS,tech_stack,aws
8,Google Cloud,tech_stack,google cloud
8,Azure,tech_stack,azure
8,Analytical thinking,soft_skill,analytical thinking
8,Attention to detail,soft_skill,attention to detail
8,Curiosity,soft_skill,curiosity
8,Collaboration,soft_skill,collaboration
8,Communication,soft_skill,communication
8,Flexible schedule,benefit,flexible schedule
8,Remote work / hybrid model,benefit,remote work / hybrid model
8,Mentorship program,benefit,mentorship program
8,Internal training,benefit,internal training
8,Access to specialized platforms,benefit,access to specialized platforms
8,Dedicated hours for cloud certifications,benefit,dedicated hours for cloud certifications
9,Python,must,python
9,BI tools,must,bi tools
9,Investigación de mercado,nice,investigación de mercado
9,Transformación digital,nice,transformación digital
9,Análisis de tendencias tecnológicas,nice,análisis de tendencias tecnológicas
9,"Certificaciones cloud (AWS, Google, Azure)",nice,"certificaciones cloud (aws, google, azure)"
9,Python,tech_stack,python
9,AWS,tech_stack,aws
9,Google Cloud,tech_stack,google cloud
9,Azure,tech_stack,azure
9,Análisis,soft_skill,análisis
9,Atención al detalle,soft_skill,atención al detalle
9,Curiosidad,soft_skill,curiosidad
9,Trabajo en equipo,soft_skill,trabajo en equipo
9,Comunicación,soft_skill,comunicación
9,Flexibilidad horaria,benefit,flexibilidad horaria
9,Teletrabajo,benefit,teletrabajo
9,Modelo híbrido,benefit,modelo híbrido
9,Mentoría,benefit,mentoría
9,Formación interna,benefit,formación interna
9,Acceso a certificaciones cloud,benefit,acceso a certificaciones cloud
10,Python,must,python
10,BI tools,must,bi tools
10,Market research,nice,market research
10,Digital transformation,nice,digital transformation
10,Technology trend analysis,nice,technology trend analysis
10,Python,tech_stack,python
10,AWS,tech_stack,aws
10,Google Cloud,tech_stack,google cloud
10,Azure,tech_stack,azure
10,BI tools,tech_stack,bi tools
10,Analytical thinking,soft_skill,analytical thinking
10,Attention to detail,soft_skill,attention to detail
10,Curiosity,soft_skill,curiosity
10,Collaboration,soft_skill,collaboration
10,Communication,soft_skill,communication
10,Flexible schedule,benefit,flexible schedule
10,Remote/hybrid work,benefit,remote/hybrid work
10,Mentorship,benefit,mentorship
10,Training programs,benefit,training programs
10,Certification support,benefit,certification support
10,Content publishing opportunities,benefit,content publishing opportunities
11,LLMs,must,llms
11,RAG,must,rag
11,Transformers,must,transformers
11,LangChain,must,langchain
11,LlamaIndex,must,llamaindex
11,Haystack,must,haystack
11,Gemini,must,gemini
11,Vertex AI Studio,must,vertex ai studio
11,Kubernetes,must,kubernetes
11,Docker,must,docker
11,CI/CD,must,ci/cd
11,MLflow,must,mlflow
11,Python,must,python
11,TypeScript,must,typescript
11,REST APIs,must,rest apis
11,GraphQL APIs,must,graphql apis
11,prompt engineering,must,prompt engineering
11,microservices architecture,must,microservices architecture
11,high English proficiency,must,high english proficiency
11,Gemini,tech_stack,gemini
11,GPT-4,tech_stack,gpt-4
11,Claude,tech_stack,claude
11,LLaMA 3,tech_stack,llama 3
11,Mistral,tech_stack,mistral
11,OpenAI ecosystem,tech_stack,openai ecosystem
11,Vertex AI,tech_stack,vertex ai
11,AWS Bedrock,tech_stack,aws bedrock
11,HuggingFace,tech_stack,huggingface
11,Stable Diffusion,tech_stack,stable diffusion
11,DALL·E 3,tech_stack,dall·e 3
11,Gemini Vision,tech_stack,gemini vision
11,AWS,tech_stack,aws
11,GCP,tech_stack,gcp
11,Azure,tech_stack,azure
11,Kubernetes,tech_stack,kubernetes
11,Docker,tech_stack,docker
11,CI/CD,tech_stack,ci/cd
11,MLflow,tech_stack,mlflow
11,Python,tech_stack,python
11,TypeScript,tech_stack,typescript
11,REST,tech_stack,rest
11,GraphQL,tech_stack,graphql
11,continuous learning,soft_skill,continuous learning
11,collaboration,soft_skill,collaboration
11,flexibility,soft_skill,flexibility
11,English,language,english
11,Permanent contract,benefit,permanent contract
11,Competitive salary + bonus,benefit,competitive salary + bonus
11,Flexible schedule,benefit,flexible schedule
11,Digital disconnection policy,benefit,digital disconnection policy
11,Intensive Friday and summer hours,benefit,intensive friday and summer hours
11,Continuous training program,benefit,continuous training program
11,"Flexible benefits (medical insurance, public transport card, childcare vouchers, restaurant card)",benefit,"flexible benefits (medical insurance, public transport card, childcare vouchers, restaurant card)"
12,Python,must,python
12,SQL,must,sql
12,Google Cloud Platform,must,google cloud platform
12,BigQuery,must,bigquery
12,DBT,must,dbt
12,Google Cloud Storage,must,google cloud storage
12,Composer (Airflow),must,composer (airflow)
12,Vertex AI,must,vertex ai
12,Jupyter Notebooks,must,jupyter notebooks
12,GitLab CI/CD,must,gitlab ci/cd
12,Machine Learning,must,machine learning
12,LLM,must,llm
12,IA Generativa,must,ia generativa
12,Comunicación,must,comunicación
12,Gestión de proyectos,must,gestión de proyectos
12,R,nice,r
12,Apache Airflow,nice,apache airflow
12,Oracle,nice,oracle
12,PL/SQL,nice,pl/sql
12,ODI,nice,odi
12,SQL Developer,nice,sql developer
12,MLflow,nice,mlflow
12,Dataflow,nice,dataflow
12,Looker,nice,looker
12,VS Code,nice,vs code
12,Experiencia en seguros,nice,experiencia en seguros
12,Experiencia en banca,nice,experiencia en banca
12,Python,tech_stack,python
12,SQL,tech_stack,sql
12,Google Cloud Platform,tech_stack,google cloud platform
12,BigQuery,tech_stack,bigquery
12,DBT,tech_stack,dbt
12,Google Cloud Storage,tech_stack,google cloud storage
12,Composer (Airflow),tech_stack,composer (airflow)
12,Apache Airflow,tech_stack,apache airflow
12,Vertex AI,tech_stack,vertex ai
12,Jupyter Notebooks,tech_stack,jupyter notebooks
12,GitLab,tech_stack,gitlab
12,CI/CD,tech_stack,ci/cd
12,R,tech_stack,r
12,Oracle,tech_stack,oracle
12,PL/SQL,tech_stack,pl/sql
12,ODI,tech_stack,odi
12,SQL Developer,tech_stack,sql developer
12,MLflow,tech_stack,mlflow
12,Dataflow,tech_stack,dataflow
12,Looker,tech_stack,looker
12,VS Code,tech_stack,vs code
12,Comunicación,soft_skill,comunicación
12,Presentación,soft_skill,presentación
12,Trabajo en equipo,soft_skill,trabajo en equipo
12,Autonomía,soft_skill,autonomía
12,Pensamiento analítico,soft_skill,pensamiento analítico
12,Resolución de problemas,soft_skill,resolución de problemas
12,Gestión de proyectos,soft_skill,gestión de proyectos
12,Coordinación,soft_skill,coordinación
12,Capacidad de explicar conceptos complejos,soft_skill,capacidad de explicar conceptos complejos
12,Contrato indefinido,benefit,contrato indefinido
12,Flexibilidad horaria,benefit,flexibilidad horaria
12,Plan de acogida y desarrollo profesional,benefit,plan de acogida y desarrollo profesional
12,Formación online,benefit,formación online
12,Jornadas intensivas viernes,benefit,jornadas intensivas viernes
12,Jornadas intensivas verano,benefit,jornadas intensivas verano
12,Modelo híbrido,benefit,modelo híbrido
12,Fruta,benefit,fruta
12,29 días hábiles de vacaciones,benefit,29 días hábiles de vacaciones
12,Plan de pensiones,benefit,plan de pensiones
12,Seguro de salud,benefit,seguro de salud
12,Seguro de vida,benefit,seguro de vida
12,Ticket restaurante,benefit,ticket restaurante
12,Retribución flexible (guardería y/o transporte),benefit,retribución flexible (guardería y/o transporte)
13,digital product development,must,digital product development
13,payments,must,payments
13,e-commerce architecture,must,e-commerce architecture
13,API integration,must,api integration
13,SDK development,must,sdk development
13,payment platforms,must,payment platforms
13,generative AI,must,generative ai
13,machine learning,must,machine learning
13,information security,must,information security
13,"regulatory compliance (LGPD, GDPR, PCI-DSS)",must,"regulatory compliance (lgpd, gdpr, pci-dss)"
13,Git,must,git
13,Swagger,must,swagger
13,Postman,must,postman
13,product strategy,must,product strategy
13,roadmap planning,must,roadmap planning
13,product governance,must,product governance
13,KPIs,must,kpis
13,English (conversational),must,english (conversational)
13,critical thinking,must,critical thinking
13,clear communication,must,clear communication
13,Postgraduate degree or MBA,nice,postgraduate degree or mba
13,Spanish,nice,spanish
13,global project experience,nice,global project experience
13,knowledge of Agentic Commerce,nice,knowledge of agentic commerce
13,order intents,nice,order intents
13,AI purchasing automation,nice,ai purchasing automation
13,autonomous agents,nice,autonomous agents
13,conversational interfaces,nice,conversational interfaces
13,"agile methodologies (Scrum, Kanban)",nice,"agile methodologies (scrum, kanban)"
13,"product management tools (Jira, Confluence, Aha!)",nice,"product management tools (jira, confluence, aha!)"
13,"certifications in Product Management or Agile (Pragmatic Institute, PMI-ACP, CSPO)",nice,"certifications in product management or agile (pragmatic institute, pmi-acp, cspo)"
13,payment methods market knowledge in Brazil,nice,payment methods market knowledge in brazil
13,Git,tech_stack,git
13,Swagger,tech_stack,swagger
13,Postman,tech_stack,postman
13,critical thinking,soft_skill,critical thinking
13,systemic vision,soft_skill,systemic vision
13,clear communication,soft_skill,clear communication
13,English (conversational),language,english (conversational)
13,Spanish,language,spanish
13,Medical insurance,benefit,medical insurance
13,Dental insurance,benefit,dental insurance
13,Wellhub,benefit,wellhub
13,Life insurance,benefit,life insurance
13,Annual healthcare,benefit,annual healthcare
13,Transportation allowance,benefit,transportation allowance
13,Meal voucher/food voucher,benefit,meal voucher/food voucher
13,Profit sharing program,benefit,profit sharing program
13,Access to self-development programmes,benefit,access to self-development programmes
13,Hybrid work model,benefit,hybrid work model
13,Collaborative environment,benefit,collaborative environment
14,Digital product development,must,digital product development
14,E-commerce architecture,must,e-commerce architecture
14,API integration,must,api integration
14,SDK development,must,sdk development
14,Payment platform integration,must,payment platform integration
14,Information security,must,information security
14,"Regulatory compliance (LGPD, GDPR, PCI-DSS)",must,"regulatory compliance (lgpd, gdpr, pci-dss)"
14,Version control (Git),must,version control (git)
14,"Technical documentation (Swagger, Postman)",must,"technical documentation (swagger, postman)"
14,Global product strategy definition,must,global product strategy definition
14,Product roadmap planning,must,product roadmap planning
14,KPI definition,must,kpi definition
14,Postgraduate degree or MBA,nice,postgraduate degree or mba
14,Spanish language proficiency,nice,spanish language proficiency
14,Experience in global projects or multinational companies,nice,experience in global projects or multinational companies
14,Knowledge of Agentic Commerce,nice,knowledge of agentic commerce
14,"Experience with AI for purchasing automation, autonomous agents, or conversational interfaces",nice,"experience with ai for purchasing automation, autonomous agents, or conversational interfaces"
14,"Agile methodologies (Scrum, Kanban)",nice,"agile methodologies (scrum, kanban)"
14,"Product management tools (Jira, Confluence, Aha!)",nice,"product management tools (jira, confluence, aha!)"
14,"Certifications in Product Management or Agile (Pragmatic Institute, PMI-ACP, CSPO)",nice,"certifications in product management or agile (pragmatic institute, pmi-acp, cspo)"
14,Knowledge of the Brazilian payment methods market,nice,knowledge of the brazilian payment methods market
14,Git,tech_stack,git
14,Swagger,tech_stack,swagger
14,Postman,tech_stack,postman
14,Critical thinking,soft_skill,critical thinking
14,Systemic vision,soft_skill,systemic vision
14,Clear communication,soft_skill,clear communication
14,Stakeholder management,soft_skill,stakeholder management
14,Strategic planning,soft_skill,strategic planning
14,English,language,english
14,Spanish,language,spanish
14,Medical insurance,benefit,medical insurance
14,Dental insurance,benefit,dental insurance
14,Life insurance (Wellhub),benefit,life insurance (wellhub)
14,Annual healthcare,benefit,annual healthcare
14,Transportation allowance,benefit,transportation allowance
14,Meal voucher / food voucher,benefit,meal voucher / food voucher
14,Profit sharing program,benefit,profit sharing program
14,Access to self-development programmes,benefit,access to self-development programmes
14,Hybrid collaborative environment,benefit,hybrid collaborative environment
15,Next.js,must,next.js
15,Tailwind CSS,must,tailwind css
15,TypeScript,must,typescript
15,Node.js,must,node.js
15,PostgreSQL,must,postgresql
15,Google Cloud Platform,must,google cloud platform
15,n8n,must,n8n
15,Generative AI,must,generative ai
15,Next.js,tech_stack,next.js
15,Tailwind CSS,tech_stack,tailwind css
15,TypeScript,tech_stack,typescript
15,Node.js,tech_stack,node.js
15,PostgreSQL,tech_stack,postgresql
15,Google Cloud Platform,tech_stack,google cloud platform
15,n8n,tech_stack,n8n
15,Growth opportunities,benefit,growth opportunities
15,Collaborative and dynamic environment,benefit,collaborative and dynamic environment
15,Professional development,benefit,professional development
15,High-impact strategy implementation,benefit,high-impact strategy implementation
15,Hybrid working model in Barcelona,benefit,hybrid working model in barcelona
15,Work flexibility,benefit,work flexibility
15,Permanent contract,benefit,permanent contract
16,Customer Experience,must,customer experience
16,Technical Support,must,technical support
16,Data Analysis,must,data analysis
16,JSON,must,json
16,Zapier,must,zapier
16,Communication,must,communication
16,JSON,tech_stack,json
16,Zapier,tech_stack,zapier
16,OpenAI,tech_stack,openai
16,Verbal communication,soft_skill,verbal communication
16,Written communication,soft_skill,written communication
16,Teamwork,soft_skill,teamwork
16,Adaptability,soft_skill,adaptability
16,"Language Classes (English, Portuguese, Spanish)",benefit,"language classes (english, portuguese, spanish)"
16,OpenAI Premium License,benefit,openai premium license
16,Paid Time Off (25 days/year),benefit,paid time off (25 days/year)
16,"Soft Hybrid Work (3 days/month in Co‑Work office, remote otherwise)",benefit,"soft hybrid work (3 days/month in co‑work office, remote otherwise)"
17,Python,must,python
17,Pandas,must,pandas
17,PyTorch,must,pytorch
17,Keras,must,keras
17,TensorFlow,must,tensorflow
17,Scikit-learn,must,scikit-learn
17,Transformers,must,transformers
17,CUDA,must,cuda
17,Huggingface,must,huggingface
17,API development,must,api development
17,Concurrent programming,must,concurrent programming
17,Statistical analysis,must,statistical analysis
17,Machine Learning,must,machine learning
17,Audio processing,must,audio processing
17,Random Forest,must,random forest
17,Diffusion models,must,diffusion models
17,SAM,must,sam
17,ResNet,must,resnet
17,DINO,must,dino
17,Prompt engineering,must,prompt engineering
17,Embeddings,must,embeddings
17,Fine-tuning,must,fine-tuning
17,LangChain,must,langchain
17,LLM orchestration,must,llm orchestration
17,Python,tech_stack,python
17,Pandas,tech_stack,pandas
17,PyTorch,tech_stack,pytorch
17,Keras,tech_stack,keras
17,TensorFlow,tech_stack,tensorflow
17,Scikit-learn,tech_stack,scikit-learn
17,Transformers,tech_stack,transformers
17,CUDA,tech_stack,cuda
17,Huggingface,tech_stack,huggingface
17,LangChain,tech_stack,langchain
17,Collaboration,soft_skill,collaboration
17,Communication,soft_skill,communication
17,Documentation,soft_skill,documentation
17,Seguro médico,benefit,seguro médico
17,Tarjeta gourmet,benefit,tarjeta gourmet
17,Cheques guardería,benefit,cheques guardería
17,Transporte,benefit,transporte
17,Formación continua (descuento en titulaciones),benefit,formación continua (descuento en titulaciones)
17,Modelo híbrido,benefit,modelo híbrido
17,Horario flexible,benefit,horario flexible
19,Diseño y desarrollo de proyectos de IA,must,diseño y desarrollo de proyectos de ia
19,Implementación de modelos LLM,must,implementación de modelos llm
19,Bases de datos vectoriales,must,bases de datos vectoriales
19,Procesamiento de información,must,procesamiento de información
19,Despliegue de modelos de IA,must,despliegue de modelos de ia
19,Gestión de pilotos/proyectos de IA,must,gestión de pilotos/proyectos de ia
19,Interfaz entre área técnica y negocio,must,interfaz entre área técnica y negocio
19,LLM,tech_stack,llm
19,Vector databases,tech_stack,vector databases
19,Comunicación,soft_skill,comunicación
19,Trabajo en equipo,soft_skill,trabajo en equipo
19,Transferencia de conocimiento,soft_skill,transferencia de conocimiento
19,Formación continua,benefit,formación continua
19,Beneficios sociales,benefit,beneficios sociales
19,Plan de retribución flexible,benefit,plan de retribución flexible
19,Compensación de gastos de teletrabajo,benefit,compensación de gastos de teletrabajo
19,Plan de carrera,benefit,plan de carrera
20,Python,must,python
20,LangChain,must,langchain
20,LangGraph,must,langgraph
20,Microservicios,must,microservicios
20,IA agentes,must,ia agentes
20,Gestión de memoria y contexto,must,gestión de memoria y contexto
20,Inglés,must,inglés
20,Experiencia sector banca,nice,experiencia sector banca
20,AWS,nice,aws
20,Python,tech_stack,python
20,LangChain,tech_stack,langchain
20,LangGraph,tech_stack,langgraph
20,AWS,tech_stack,aws
20,Microservicios,tech_stack,microservicios
20,Inglés,language,inglés
20,Salario competitivo,benefit,salario competitivo
20,Contrato indefinido,benefit,contrato indefinido
20,Contrato mercantil,benefit,contrato mercantil
20,22 días laborables de vacaciones,benefit,22 días laborables de vacaciones
20,Seguro médico,benefit,seguro médico
20,Cheques guardería,benefit,cheques guardería
20,Cheques transporte,benefit,cheques transporte
20,Formación en Tecnología y Soft Skills,benefit,formación en tecnología y soft skills
20,Programa de referidos,benefit,programa de referidos
21,"Python (OOP, testing, scientific libraries)",must,"python (oop, testing, scientific libraries)"
21,"Git/GitHub (advanced, branching, PRs, CI)",must,"git/github (advanced, branching, prs, ci)"
21,"Mathematics for ML (statistics, linear algebra, probability)",must,"mathematics for ml (statistics, linear algebra, probability)"
21,Scikit-learn,must,scikit-learn
21,"Deep learning framework (e.g., TensorFlow, PyTorch)",must,"deep learning framework (e.g., tensorflow, pytorch)"
21,"Generative AI (prompting, embeddings, APIs such as OpenAI, Anthropic, Gemini, HuggingFace)",must,"generative ai (prompting, embeddings, apis such as openai, anthropic, gemini, huggingface)"
21,"Cloud AI (Azure AI, Vertex AI, AWS AI)",must,"cloud ai (azure ai, vertex ai, aws ai)"
21,SQL (advanced),must,sql (advanced)
21,NoSQL (basic),must,nosql (basic)
21,"Web development (REST APIs, simple front‑end)",must,"web development (rest apis, simple front‑end)"
21,"MLOps basics (venv/conda, DVC, MLflow, tracking)",must,"mlops basics (venv/conda, dvc, mlflow, tracking)"
21,Testing (pytest),must,testing (pytest)
21,Linting,must,linting
21,Type hints,must,type hints
21,RGPD/PII compliance,must,rgpd/pii compliance
21,educational or socio‑educational experience,nice,educational or socio‑educational experience
21,Python,tech_stack,python
21,Git,tech_stack,git
21,GitHub,tech_stack,github
21,Scikit-learn,tech_stack,scikit-learn
21,TensorFlow,tech_stack,tensorflow
21,PyTorch,tech_stack,pytorch
21,OpenAI API,tech_stack,openai api
21,Anthropic API,tech_stack,anthropic api
21,Google Gemini API,tech_stack,google gemini api
21,HuggingFace,tech_stack,huggingface
21,Azure AI,tech_stack,azure ai
21,Google Vertex AI,tech_stack,google vertex ai
21,AWS AI,tech_stack,aws ai
21,SQL,tech_stack,sql
21,NoSQL,tech_stack,nosql
21,REST APIs,tech_stack,rest apis
21,DVC,tech_stack,dvc
21,MLflow,tech_stack,mlflow
21,pytest,tech_stack,pytest
21,flake8,tech_stack,flake8
21,mypy,tech_stack,mypy
21,leadership with empathy,soft_skill,leadership with empathy
21,strategic vision,soft_skill,strategic vision
21,adaptability to change,soft_skill,adaptability to change
21,clear communication,soft_skill,clear communication
21,high social commitment,soft_skill,high social commitment
21,Spanish (C2),language,spanish (c2)
21,English (B2),language,english (b2)
21,social impact,benefit,social impact
21,professional development in pedagogía Simplon.co,benefit,professional development in pedagogía simplon.co
21,agile and motivating environment,benefit,agile and motivating environment
21,diverse collaborative team,benefit,diverse collaborative team
21,indefinite contract,benefit,indefinite contract
21,full-time schedule (Monday to Friday),benefit,full-time schedule (monday to friday)
21,flexible remote work (40-60%),benefit,flexible remote work (40-60%)
21,"competitive salary (35,000‑39,000 EUR gross)",benefit,"competitive salary (35,000‑39,000 eur gross)"
21,work‑life balance support,benefit,work‑life balance support
22,Backend development,must,backend development
22,API development,must,api development
22,Cloud integration,must,cloud integration
22,Microsoft Azure,must,microsoft azure
22,Retrieval-Augmented Generation,must,retrieval-augmented generation
22,Large Language Models,must,large language models
22,Speech-to-text,must,speech-to-text
22,Intelligent Document Processing,nice,intelligent document processing
22,French language,nice,french language
22,Azure Functions,tech_stack,azure functions
22,Azure App Services,tech_stack,azure app services
22,Cosmos DB,tech_stack,cosmos db
22,Azure Key Vault,tech_stack,azure key vault
22,Collaboration,soft_skill,collaboration
22,Monitoring,soft_skill,monitoring
22,Reliability,soft_skill,reliability
22,Security,soft_skill,security
22,Performance optimization,soft_skill,performance optimization
22,English,language,english
22,Spanish,language,spanish
22,French,language,french
23,Inteligencia Artificial,must,inteligencia artificial
23,Inglés B2,must,inglés b2
23,Trabajo en equipo,soft_skill,trabajo en equipo
23,Aprendizaje rápido,soft_skill,aprendizaje rápido
23,Comunicación,soft_skill,comunicación
23,Inglés (B2),language,inglés (b2)
23,Contrato indefinido,benefit,contrato indefinido
23,Jornada completa,benefit,jornada completa
23,23 días de vacaciones,benefit,23 días de vacaciones
23,Formación continua,benefit,formación continua
23,Acceso a certificaciones y formaciones de partners tecnológicos,benefit,acceso a certificaciones y formaciones de partners tecnológicos
23,Seguro de vida y accidentes,benefit,seguro de vida y accidentes
23,"Retribución flexible (seguro médico, cheques guardería, transporte, comida y formación)",benefit,"retribución flexible (seguro médico, cheques guardería, transporte, comida y formación)"
23,Acceso a Privilege Club,benefit,acceso a privilege club
23,Onboarding personalizado,benefit,onboarding personalizado
23,Oficina con espacios de ocio,benefit,oficina con espacios de ocio
23,Plan de carrera personalizado,benefit,plan de carrera personalizado
24,Machine Learning,must,machine learning
24,Deep Learning,must,deep learning
24,LLMs,must,llms
24,Transformers,must,transformers
24,RNNs,must,rnns
24,Autoencoders,must,autoencoders
24,Gradient Boosting,must,gradient boosting
24,Multi-armed Bandits,must,multi-armed bandits
24,Time Series Analysis,must,time series analysis
24,Python,must,python
24,TensorFlow,must,tensorflow
24,PyTorch,must,pytorch
24,Scikit-learn,must,scikit-learn
24,SciPy,must,scipy
24,Keras,must,keras
24,Seaborn,must,seaborn
24,Matplotlib,must,matplotlib
24,MLOps,must,mlops
24,DataOps,must,dataops
24,ETL,must,etl
24,Data Wrangling,must,data wrangling
